vendor, program
Axis Communications,AXIS Media Control Embedded Installer
Axis Communications,AXIS Optimizer
Axis Communications,Camera Control
Axis Communications,License Plate Verifier
Axis,AXIS Camera Station
Axis,AXIS Camera Station 5
Axis,AXIS Camera Station Pro
Axis,AXIS Device Manager
Axis,AXIS License Plate Verifier
Axis,AXIS Media Control Embedded Installer
Axis,AXIS Optimizer
Axis,Camera Control
Axis,License Plate Verifier
AzeoTech,DAQFactory
B&R Industrial Automation,Aprol
B&R Industrial Automation,Automation Runtime
B&R Industrial Automation,Automation Runtime Simulation
B&R Industrial Automation,Automation Studio
B&R Industrial Automation,Hypervisor
B&R Industrial Automation,Technology Guarding
B&R Industrial Automation,Visual Components
B&R Industrial Automation,mapp Cockpit
B&R Industrial Automation,mapp Motion
B&R Industrial Automation,mapp Safety
B&R Industrial Automation,mapp Services
B&R Industrial Automation,mapp View
B&R Industrial Automation,mapp Vision
B.Braun,OnlineSuite
BIG IT,BIG IT
BMC Software,Track-It
Baker Hughes,Bently Nevada 3500
Beckhoff,Beckhoff IPC Diagnostics
Beckhoff,Beckhoff TF6100 OPC-UA
Beckhoff,Beckhoff TS6100 OPC-UA
Beckhoff,Beckhoff TwinCAT HMI Server
Beckhoff,IPC Diagnostic UA Server
Beckhoff,IPC Diagnostics UA Server
Beckhoff,OPC UA Server
Beckhoff,TE1000
Beckhoff,TF2110
Beckhoff,TF3300
Beckhoff,TF6100
Beckhoff,TF6720
Beckhoff,TS6100
Beckhoff,TS6100-0030
Beckhoff,TcOpcUaServer
Beckhoff,TwinCAT
Beckhoff,TwinCAT Package Manager
Beckhoff,beckhoff tf2000 hmi server
Beckhoff,ipc diagnostics
Becton Dickinson,IV Prep
Becton Dickinson,Logistics
Becton Dickinson,Medstation
Becton Dickinson,Supply Knowledge Portal
Becton Dickinson,Tissue & Implant Management System
Belledonne Communications,Linphone
Bently Nevada,View
BerriAI,LiteLLM
BeyondTrust,PRA
BeyondTrust,Privileged Remote Access
BeyondTrust,RS
BeyondTrust,Remote Support
Bitsight,MRLG
Boston Scientific,LATITUDE Link Viewer
Brocade,SANnav
Campbell Scientific,CSI Web Server
Campbell Scientific,RTMC Pro
Carestream,RIS
Carrier,BLK4
Carrier,BLK41
Carrier,Block Load
Carrier,i-Vu
CentOS,CWP
CentOS,Control Web Panel
CentOS,FreeType
CentOS,Web Panel
Chargemap,chargemap
Check Point,CloudGuard
Chirp Systems,Chirp Access
Cisco,8000V Edge
Cisco,8000V Edge Software
Cisco,9800-CL
Cisco,ACS
Cisco,AMP for Linux
Cisco,AMP for MacOS
Cisco,AMP for Windows
Cisco,APIC
Cisco,ASA
Cisco,ASDM
Cisco,AnyConnect
Cisco,Application Delivery
Cisco,Application Server
Cisco,AsyncOS
Cisco,BroadWorks
Cisco,BroadWorks Application Delivery
Cisco,CCE
Cisco,CCX
Cisco,CE
Cisco,CNC
Cisco,CSDAC
Cisco,CSPC
Cisco,CX
Cisco,Catalyst 8000V Edge Software
Cisco,Catalyst Center
Cisco,Catalyst Center Virtual Appliance
Cisco,Catalyst SD-WAN Manager
Cisco,Cisco Adaptive Security Appliance (ASA) Software
Cisco,Cisco AnyConnect VPN Client
Cisco,Cisco Application Extension Platform
Cisco,Cisco Catalyst Center
Cisco,Cisco Catalyst SD-WAN Controller
Cisco,Cisco Catalyst SD-WAN Manager
Cisco,Cisco Data Center Network Manager
Cisco,Cisco IOS
Cisco,Cisco ISE
Cisco,Cisco NX-OS
Cisco,Cisco Secure Client
Cisco,Cisco Secure Client - AnyConnect VPN
Cisco,Cisco Secure Client - ISE Posture
Cisco,Cisco Secure Email
Cisco,Cisco Secure Email Gateway
Cisco,Cisco Secure Email and Web Manager
Cisco,Cisco Smart License Utility
Cisco,Cisco Unified CCE
Cisco,Cisco Unified CCX
Cisco,Cisco Unified Communications Manager
Cisco,Cisco Unified Communications Manager IM & Presence Service
Cisco,Cisco Unified Communications Manager Session Management Edition
Cisco,Cisco Unified Contact Center Express
Cisco,Cisco Unified Intelligence Center
Cisco,Cisco Unity Connection
Cisco,Cisco ironport
Cisco,ClamAV
Cisco,Cloud Native Broadband Network Gateway
Cisco,CommPilot
Cisco,ConfD
Cisco,Crosswork Data Gateway
Cisco,Crosswork NSO
Cisco,Crosswork Network Controller
Cisco,Cyber Vision
Cisco,DCNM
Cisco,DNA Center
Cisco,Data Center Network Manager
Cisco,Duo
Cisco,EPNM
Cisco,Email Security
Cisco,Enterprise Chat & Email
Cisco,Enterprise Chat and Email
Cisco,Evolved Programmable Network Manager
Cisco,Expressway
Cisco,FMC
Cisco,FTD
Cisco,FXOS
Cisco,Field Network Director
Cisco,Finesse
Cisco,FirePOWER
Cisco,Firepower
Cisco,Firepower Management Center
Cisco,Fpr2110
Cisco,Fpr2120
Cisco,Fpr2130
Cisco,Fpr2140
Cisco,HyperFlex
Cisco,IND
Cisco,INode
Cisco,INode manager
Cisco,IOS
Cisco,IOS SD-WAN
Cisco,IOS XE
Cisco,IOS XE SD-WAN
Cisco,IOS XR
Cisco,IOT CC
Cisco,IOx
Cisco,ISE
Cisco,ISM-VPN
Cisco,Identity Services Engine
Cisco,Intelligent Node
Cisco,Intelligent Node manager
Cisco,IronPort
Cisco,Manage Software
Cisco,Management Center
Cisco,Management Center Virtual
Cisco,Meeting
Cisco,Meeting Management
Cisco,Mobility Express
Cisco,Modeling Labs
Cisco,NDFC
Cisco,NFVIS
Cisco,NSO
Cisco,NX-OS
Cisco,Network Server
Cisco,Network Services Orchestrator
Cisco,Nexus Dashboard
Cisco,Nexus Dashboard Fabric Controller
Cisco,Nexus Dashboard Insights
Cisco,Nexus Dashboard Orchestrator
Cisco,Optical Site Manager
Cisco,Optical Site Manager for Network Convergence System
Cisco,Prime Collaboration Deployment
Cisco,Prime Infrastructure
Cisco,RoomOS
Cisco,SD-WAN
Cisco,SD-WAN vManage
Cisco,SD-Wan
Cisco,SEC
Cisco,SEPC
Cisco,SMA
Cisco,SNA
Cisco,SPA300
Cisco,SPA500
Cisco,SSM
Cisco,SSM On-Prem
Cisco,SSM Satellite
Cisco,Secure Access
Cisco,Secure Email Gateway
Cisco,Secure Email and Web Manager
Cisco,Secure FMC
Cisco,Secure FTD
Cisco,Secure Firewall ASA
Cisco,Secure Network Analytics
Cisco,Secure Web Appliance
Cisco,Shelf Virtualization Orchestrator Module
Cisco,Smart PHY
Cisco,Smart Software Manager
Cisco,StarOS
Cisco,TelePresence
Cisco,TelePresence Collaboration Endpoint
Cisco,TelePresence Endpoint Software
Cisco,Threat Defense
Cisco,Threat Defense Virtual
Cisco,UC
Cisco,UCCE
Cisco,UCCX
Cisco,UCM
Cisco,UCM IMP
Cisco,UCM SME
Cisco,UCS
Cisco,UCS Manager
Cisco,UIC
Cisco,Ultra Cloud Core
Cisco,Ultra Services Platform
Cisco,Unified CCX
Cisco,Unified Communications Manager
Cisco,Unified Communications Manager IM & Presence Service
Cisco,Unified Communications Manager Session Management Edition
Cisco,Unified Intelligence
Cisco,Unity
Cisco,Unity Connection
Cisco,Unnity Connect
Cisco,VCS
Cisco,VWC
Cisco,WSA
Cisco,Webex
Cisco,Webex Calling Dedicated Instance
Cisco,Webex Meetings
Cisco,Webex Room Phone
Cisco,Webex Service
Cisco,Webex Share Link
Cisco,Xtended Services
Cisco,catalyst control center
Cisco,cisco ISE
Cisco,cisco ironport email
Cisco,finesse
Cisco,iNode Manager
Cisco,unified ccx
Cisco,unified customer voice portal
Cisco,vBond
Cisco,vBond Orchestrator
Cisco,vBond Orchestrator Software
Cisco,vEdge
Cisco,vEdge Cloud Router
Cisco,vEdge Router
Cisco,vManage
Cisco,vManage Network Management
Cisco,vManage Software
Cisco,vSmart
Cisco,vSmart Controller
Cisco,vSmart Controller Software
Citrix,Application Delivery Controller
Citrix,NDcPP
Citrix,NetScaler
Citrix,NetScaler ADC
Citrix,NetScaler ADC FIPS
Citrix,NetScaler ADC NDcPP
Citrix,NetScaler Gateway
Citrix,Netscaler
Citrix,Netscaler Gateway
Citrix,Session Recording
Citrix,ShareFile
Citrix,XenCenter
Citrix,netscaler gateway
Claris,filemaker server
Cleo,Harmony
Cleo,LexiCom
Cleo,VBTrader
Codesys,Automation Server
Codesys,CODESYS
Codesys,CODESYS Control
Codesys,CODESYS Control RTE
Codesys,CODESYS Control Win
Codesys,CODESYS Embedded Target Visu Toolkit
Codesys,CODESYS Gateway
Codesys,CODESYS HMI
Codesys,CODESYS Remote Target Visu Toolkit
Codesys,CODESYS Runtime Toolkit
Codesys,CODESYS Virtual Control SL
Codesys,CODESYS Visualization
Codesys,Control V3 Runtime System Toolkit
Codesys,Development System
Codesys,Development System V3
Codesys,Development System setup
Codesys,Edge Gateway for Linux
Codesys,Edge Gateway for Windows
Codesys,Gateway
Codesys,HMI SL
Codesys,OPC Server
Codesys,PLCHandler
Codesys,PLCWinNT
Codesys,Runtime Toolkit
Codesys,SP Realtime NT
Codesys,Web Server
Cognex,In-Sight Explorer
Commvault,Commvault
Commvault,web server
ConnectWise,ScreenConnect
Craft CMS,Craft
Craft CMS,Craft CMS
CrushFTP,CrushFTP
CyberPanel,CyberPanel
CyberPower,PowerPanel
CyberPower,PowerPanel Business
Danfoss,Danfoss AK-SM 8
Dario,Dario Application Database and Internet-based Server
Dario,USB-C Blood Glucose Monitoring System
Dassault Systems,DELMIA Apriso
David Madore,ftpd-bsd
Debian,bash
Debian,sudo
Dell,Dell OpenManage Server Administrator
Dell,OpenManage Server Administrator
Dell,RecoverPoint for Virtual Machines
Dell,iDRAC8
Delta Electronics,ASDA_Soft
Delta Electronics,CNCSoft
Delta Electronics,CNCSoft-G2
Delta Electronics,COMMGR
Delta Electronics,DIAEnergie
Delta Electronics,DIAScreen
Delta Electronics,DIAView
Delta Electronics,DOPSoft
Delta Electronics,DRASimuCAD
Delta Electronics,DTM Soft
Delta Electronics,EIP Builder
Delta Electronics,ISPSoft
Delta Electronics,InfraSuite Device Master
Delta Electronics,asda soft
Docker,Docker Desktop
Dorsett Controls,InfoScan
Draeger,Core
Draeger,M540 Convertor Service
Draeger,Protector
Draeger,Vista 120 CMS
DrayTek,VigorConnect
Eaton Automation,9000x programing and configuration
Eaton Automation,ELCSoft
Eaton Automation,Eaton Intelligent Power Manager
Eaton Automation,Eaton Intelligent Power Manager Virtual Appliance
Eaton Automation,Eaton Intelligent Power Protector
Eaton Automation,Foreseer
Eaton Automation,Halo Home
Eaton Automation,Intelligent Power Manager
Eaton Automation,Intelligent Power Manager Infrastructure
Eaton Automation,Intelligent Power Protector
Eaton Automation,Secure Connect Android Mobile app
Eaton Automation,UPS Companion
Eaton Automation,easySoft
Eaton Electrical,9000x programing and configuration
Eaton Electrical,ELCSoft
Eaton Electrical,Eaton Intelligent Power Manager
Eaton Electrical,Eaton Intelligent Power Manager Virtual Appliance
Eaton Electrical,Eaton Intelligent Power Protector
Eaton Electrical,Foreseer
Eaton Electrical,Halo Home
Eaton Electrical,Intelligent Power Manager
Eaton Electrical,Intelligent Power Manager Infrastructure
Eaton Electrical,Intelligent Power Protector
Eaton Electrical,Secure Connect Android Mobile app
Eaton Electrical,UPS Companion
Eaton Electrical,easySoft
Eaton,9000x programing and configuration
Eaton,ELCSoft
Eaton,Eaton Intelligent Power Manager
Eaton,Eaton Intelligent Power Manager Virtual Appliance
Eaton,Eaton Intelligent Power Protector
Eaton,Foreseer
Eaton,Halo Home
Eaton,Intelligent Power Manager
Eaton,Intelligent Power Manager Infrastructure
Eaton,Intelligent Power Protector
Eaton,Secure Connect Android Mobile app
Eaton,UPS Companion
Eaton,easySoft
EisBaer,SCADA
Elastic NV,kibana
Elseta,Vinci
Embedthis,GoAhead
Emerson,Appleton UPSMON-PRO
Emerson,Environet
Emerson,OpenBSI
Emerson,OpenEnterprise
Emerson,OpenEnterprise Server
Emerson,PAC Machine Edition
Emerson,Proficy Machine Edition
Emerson,ValveLink
Emulex,Emulex Network Adapter
Emulex,Emulex Network Adapter Drivers
EnOcean,SmartServer
Endress + Hauser,Endress+Hauser Echo Curve Viewer
Endress + Hauser,Endress+Hauser FieldCare SFE500
Endress + Hauser,Field Xpert SMT50
Endress + Hauser,Field Xpert SMT70
Endress + Hauser,Field Xpert SMT77
Endress + Hauser,Field Xpert SMT79
Ericsson,Erlang OTP
Exim,Exim
F5 Networks,BIG-IP AFM
F5 Networks,BIG-IP APM
F5 Networks,BIG-IP ASM
F5 Networks,BIG-IP Advanced WAF/ASM
F5 Networks,BIG-IP Next CNF
F5 Networks,BIG-IP Next Central Manager
F5 Networks,BIG-IP Next SPK
F5 Networks,BIG-IP Next for Kubernetes
F5 Networks,BIG-IP PEM
F5 Networks,BIG-IP SSL Orchestrator
F5 Networks,F5OS-A
F5 Networks,F5OS-C
F5 Networks,NGINX App Protect WAF
F5 Networks,NGINX Open Source
F5 Networks,NGINX Plus
F5 Networks,SSL Orchestrator
F5 Networks,nginx-plus
Fanuc Robotics,FANUC ROBOGUIDE
Fanuc Robotics,FANUC ROBOGUIDE-HandlingPRO
Festo,Automation Suite
Festo,CIROS Education
Festo,CIROS Studio
Festo,CoDeSys
Festo,FluidDraw 365
Festo,FluidDraw p6
Festo,FluidSIM
Festo,FluidSIM 5
Festo,FluidSIM 6
Festo,LX Appliance
Festo,Software Compact Vision System SBO-Q
Festo,Software Control block CPX-CEC
Festo,Software Control block CPX-CEC-C1
Festo,Software Control block CPX-CEC-C1-V3
Festo,Software Control block CPX-CEC-M1
Festo,Software Control block CPX-CEC-M1-V3
Festo,Software Control block CPX-CEC-S1-V3
Festo,Software Control block CPX-CMXX
Festo,Software Controller CECC-D
Festo,Software Controller CECC-D-BA
Festo,Software Controller CECC-D-CS
Festo,Software Controller CECC-LK
Festo,Software Controller CECC-S
Festo,Software Controller CECC-X-M1
Festo,Software Controller CECC-X-M1-MV
Festo,Software Controller CECC-X-M1-S1
Festo,Software Controller CECX-X-C1
Festo,Software Controller CECX-X-M1
Festo,Software Controller CPX-E-CEC-C1
Festo,Software Controller CPX-E-CEC-C1-EP
Festo,Software Controller CPX-E-CEC-C1-PN
Festo,Software Controller CPX-E-CEC-M1
Festo,Software Controller CPX-E-CEC-M1-EP
Festo,Software Controller CPX-E-CEC-M1-PN
Festo,Software Controller FED-CEC
Festo,Software Operator unit CDPX-X-A-S-10
Festo,Software Operator unit CDPX-X-A-W-13
Festo,Software Operator unit CDPX-X-A-W-4
Festo,Software Operator unit CDPX-X-A-W-7
Festo,Software Operator unit CDPX-X-E1-W-10
Festo,Software Operator unit CDPX-X-E1-W-15
Festo,Software Operator unit CDPX-X-E1-W-7
Forta,GoAnywhere
Fortinet,FortiADC
Fortinet,FortiAnalyzer
Fortinet,FortiAnalyzer Cloud
Fortinet,FortiAnalyzer-BigData
Fortinet,FortiAuthenticator
Fortinet,FortiCamera
Fortinet,FortiClient
Fortinet,FortiClient Cloud
Fortinet,FortiClient EMS
Fortinet,FortiClient Endpoint Management Server
Fortinet,FortiClient Enterprise Management Server
Fortinet,FortiClientEMS
Fortinet,FortiDDoS-F
Fortinet,FortiDevSec
Fortinet,FortiEDR
Fortinet,FortiMail
Fortinet,FortiManager
Fortinet,FortiManager 6.2
Fortinet,FortiManager 6.4
Fortinet,FortiManager 7.0
Fortinet,FortiManager 7.2
Fortinet,FortiManager 7.4
Fortinet,FortiManager 7.6
Fortinet,FortiManager Cloud
Fortinet,FortiManager Cloud 6.4
Fortinet,FortiManager Cloud 7.0
Fortinet,FortiManager Cloud 7.2
Fortinet,FortiManager Cloud 7.4
Fortinet,FortiNAC
Fortinet,FortiNAC-F
Fortinet,FortiNDR
Fortinet,FortiOS
Fortinet,FortiPAM
Fortinet,FortiProxy
Fortinet,FortiRecorder
Fortinet,FortiSIEM
Fortinet,FortiSOAR
Fortinet,FortiSOAR PaaS
Fortinet,FortiSOAR on-premise
Fortinet,FortiSandBox
Fortinet,FortiSandbox Cloud
Fortinet,FortiSandbox PaaS
Fortinet,FortiSwitch
Fortinet,FortiSwitch Manager
Fortinet,FortiSwitchManager
Fortinet,FortiVoice
Fortinet,FortiWeb
Fortinet,forticlientems
Fortra,GoAnywhere
Foxit,PDF Reader
Fresenius,Home Bridge
Fresenius,IDMS
Fresenius,Infrastructure Data Management Systems
Fresenius,Ivenix LVP
Fresenius,Remote Service
Fuji Electric,FRENIC-Loader 4
Fuji Electric,Monitouch VSFT
Fuji Electric,Smart Editor
Fuji Electric,Tellus
Fuji Electric,Tellus Lite
Fuji Electric,Tellus Lite V-Simulator
Fuji Electric,V-Server Lite
Fujifilm,Synapse Mobility
GDCM,GDCM
GE,APM
GE,CIMPLICITY
GE,CSense
GE,Cloud Manufacturing Execution System
GE,Digital iFIX
GE,EchoPAC Software Only
GE,EchoPAC TurnKey
GE,EnerVista UR Setup
GE,GEMNet
GE,HMI/SCADA iFix
GE,Historian
GE,IGS
GE,Manufacturing Data Cloud
GE,Manufacturing Data Cloud Edge Components
GE,Operations Hub
GE,Proficy Historian
GE,Proficy Plant Applications Enterprise Web Client
GE,Proficy Plant Applications Web Client
GE,ToolBoxST
GE,asset_performance_management_classic
GE,iFIX
GE,workstationst
GNU,InetUtils
GeoSolutions Group,JAI-EXT
GitLab,GitLab
GitLab,GitLab CE
GitLab,GitLab CE/EE
GitLab,GitLab EE
GitLab,gitlab-ce
GitLab,gitlab-ee
Gladinet,CentreStack
Gladinet,Triofox
GlavSoft LLC.,TightVNC
Google,Android
Google,Chrome
Google,Zimbra
Google,Zimbra Collaboration Suite
Google,chrome
Grafana Labs,Grafana
Grassroots,DICOM
Grassroots,GDCM
Grassroots,SimpleITK
Grassroots,medInria
Hakko,Tellus Lite
Hewlett-Packard Enterprise,HPE OneView
Hikvision,HikCentral Professional
Hikvision,Hikvision Integrated Security Management Platform
Hill-Rom,Connex Health Portal
Hill-Rom,SDK
Hill-Rom,Service Tool
Hirschmann,HiFusion
Hirschmann,HiLCOS
Hirschmann,HiOS
Hirschmann,HiView
Hirschmann,Industrial HiVision
Hirschmann,Provize Basic
Hirschmann,Provize Suite
Hitachi Energy,Asset Suite
Hitachi Energy,Ellipse
Hitachi Energy,FOX61x
Hitachi Energy,FOXCST
Hitachi Energy,FOXMAN-UN
Hitachi Energy,MACH GWS
Hitachi Energy,MACH SCM
Hitachi Energy,MACH SCM Tools
Hitachi Energy,MSM
Hitachi Energy,RTU500 Scripting interface
Hitachi Energy,Service Suite
Hitachi Energy,SuprOS
Hitachi Energy,TRMTracker
Hitachi Energy,UNEM
Hitachi,Analytics probe server
Hitachi,Analyzer detail view server
Hitachi,Analyzer probe server
Hitachi,Application Server
Hitachi,Application Server for Developers
Hitachi,Asset Suite
Hitachi,Asset Suite AnyWhere for Inventory
Hitachi,Automation Director
Hitachi,Configuration Manager
Hitachi,Cosminexus
Hitachi,Cosminexus Application
